,userId,beer_beerid,beer_name,brewery_name,beer_style,beer_abv,review_overall,review_time
1253416,898,40897,Hook & Ladder Lighter,Hook & Ladder Brewing Company (No. 2),Kölsch,3.2,2.5,1303096722
1253458,898,41263,Mission Hefeweizen,Mission Brewery,Hefeweizen,5.0,3.0,1323837180
1253500,898,50196,Brewer's Alley 1634 Ale,Brewer's Alley Restaurant & Brewery,Rye Beer,5.8,2.5,1275706736
1253518,898,51045,Primal Pale Ale,Evolution Craft Brewing Company,American Pale Ale (APA),5.0,2.0,1325637269
1253565,898,52747,Tarry Suchong,BFM Brasserie Des Franches-Montagnes,Smoked Beer,6.0,1.0,1277787434
1253593,898,55036,Shiner Fröst,Spoetzl Brewery,Dortmunder / Export Lager,5.5,4.5,1276661138
1253672,898,66165,Peak Organic Simcoe Spring,Peak Organic Brewing Company,American Pale Ale (APA),5.4,1.0,1306281279
1253722,899,51587,Wild Fire Wheat,Bootlegger's Brewery,Smoked Beer,5.0,4.5,1284961214
1253736,899,61933,Imperial Phoenix,Bootlegger's Brewery,American Double / Imperial Stout,10.0,4.0,1284959950
1253740,901,5418,Willimantic S.W.A.K Stout,Willimantic Brewing Co.,Milk / Sweet Stout,5.5,4.5,1203803087
1253747,901,28133,Willimantic RoadenZok,Willimantic Brewing Co.,Flanders Red Ale,5.9,3.0,1169060734
1253755,902,10876,Lost Coast Wheat,Lost Coast Brewery and Cafe,Hefeweizen,,4.0,1213635216
1253761,902,19199,Nit Wit,BJ's Restaurant & Brewhouse,Witbier,4.7,2.0,1215640011
1253773,902,25896,Virgin Islands Pale Ale,St. John Brewers,American Pale Ale (APA),4.5,2.0,1212202673
1253790,904,5202,Ol Woody Pale Ale,Mad Anthony Brewing Company,American Pale Ale (APA),,3.5,1148501858
1253845,905,45933,Shipyard Imperial Porter (Pugsley's Signature Series),Shipyard Brewing Co.,Baltic Porter,7.1,5.0,1243304059
1253992,906,15414,Winter Warmer (formerly Ringneck),The Brew Kettle Taproom & Smokehouse / Production Works,Winter Warmer,8.0,3.5,1321926249
1254009,906,39494,Otter Creek Winter Ale,Otter Creek Brewing / Wolaver's,American Brown Ale,5.8,3.5,1293902165
1254110,906,45992,12 Dogs Of Christmas Ale,Thirsty Dog Brewing Company,Winter Warmer,8.3,4.0,1294008975
1254239,906,56081,Lilja's Sasquatch Stout,Sand Creek Brewing Company,American Stout,7.0,4.5,1274241891
1254297,906,59339,Candi-Man,Indigo Imp Brewery,Dubbel,7.2,3.0,1298940230
1254305,906,60686,Sticke It To The Man,O'Fallon Brewery,Altbier,10.0,2.0,1299177935
1254338,906,61593,Ghidorah Double IPA - Beer Camp #29,Sierra Nevada Brewing Co.,American Double / Imperial IPA,8.2,3.5,1305738673
1254413,906,62839,Vicious American Wheat IPA,North Peak Brewing Company,American IPA,6.7,4.5,1296614993
1254469,906,62921,Imperial American Porter (2010 Beer Week Collaboration With Rocky River),Hoppin' Frog Brewery,American Porter,6.9,4.0,1313896964
1254479,906,67895,Crooked River Settlers Ale ESB,JW Dover Beer & Wine Makers Supplies / Black Box Brewing Co.,English Bitter,,3.0,1307155336
1254481,906,75428,Barrel-Aged Gonzo Imperial Porter,Flying Dog Brewery,American Porter,9.5,4.0,1326142208
1254489,906,76323,Rayon Vert,Green Flash Brewing Co.,Belgian Pale Ale,7.0,4.5,1325188647
1254513,906,76405,Blitzen Festivus Ale,North Peak Brewing Company,Winter Warmer,6.8,2.0,1324497660
1254518,908,193,Geary's London Style Porter,D.L. Geary Brewing Company,English Porter,4.2,4.0,1214421499
1254681,908,476,Pale Ale,John Harvard's Brewery & Ale House,English Pale Ale,5.1,4.0,1165418885
1254728,908,485,Nut Brown Ale,John Harvard's Brewery & Ale House,English Brown Ale,5.5,4.0,1167925236
1254746,908,2917,Slavutych Pivo (Slavutich Premium),Slavutych Brewery,Euro Pale Lager,5.0,3.0,1184107410
1254803,908,4563,Southampton Golden Lager,Southampton Publick House,Munich Helles Lager,4.5,3.0,1181055201
1254814,908,4568,Southampton West Coast Steam Beer,Southampton Publick House,California Common / Steam Beer,4.8,5.0,1177423702
1254823,908,7064,Holiday Red,John Harvard's Brewery & Ale House,Belgian Dark Ale,6.5,3.5,1166200072
1254830,908,7660,Younger's Tartan Special,The Caledonian Brewery Company Limited,Scottish Ale,,3.5,1180618245
1254839,908,8034,Belle Gueule Rousse,Brasseurs R.J.,American Amber / Red Ale,5.2,3.5,1180305843
1254857,908,9896,Blue Point Double Blonde Ale,Blue Point Brewing Company,American Blonde Ale,6.6,3.5,1184895586
1254867,908,10571,Southampton Burton Ale,Southampton Publick House,English Pale Ale,4.4,4.0,1172436418
1254885,908,11417,Königsberg Pale,Pivovariya Ivana Taranova,Euro Pale Lager,4.5,3.0,1184608521
1254889,908,12219,Oatmeal Amber,John Harvard's Brewery & Ale House,American Amber / Red Ale,5.0,3.0,1176755284
1254896,908,16433,Double Trouble Bock,John Harvard's Brewery & Ale House,Doppelbock,,4.5,1191904041
1254901,908,17209,Sullivan's Irish Ale,Southampton Publick House,Irish Red Ale,4.5,4.0,1177423345
1254908,908,19378,Paul Brown Nut Brown,Brick House Brewery,American Brown Ale,5.3,4.0,1162308089
1254916,908,20894,Old Capital,Keegan Ales,American Blonde Ale,,2.5,1181056613
1254961,908,22050,Black Forest Imperial Stout,Black Forest Brew Haus,Russian Imperial Stout,8.8,3.5,1174927004
1254967,908,27026,Manchester Alt,John Harvard's Brewery & Ale House,Altbier,4.5,4.0,1176306429
1254969,908,27294,Southampton Double Espresso,Southampton Publick House,American Stout,,4.0,1171730537
1254973,908,29881,Heartland Sheep's Secret Scotch Ale,Heartland Brewery Union Square,Scottish Ale,6.5,3.5,1173287477
1254975,908,30028,Blue Point Golden Ale,Blue Point Brewing Company,American Pale Ale (APA),4.4,4.0,1164552759
1254980,908,30568,West Coast Stout,John Harvard's Brewery & Ale House,American Stout,,3.5,1160926508
1254983,908,30749,Nitroboom Stout,Brick House Brewery,Irish Dry Stout,5.5,4.0,1161094568
1254993,908,31120,20th Anniversary Pilsner,Abita Brewing Co.,Czech Pilsener,5.0,4.0,1193755135
1255081,908,31247,Apollo,Sixpoint Brewery,American Pale Wheat Ale,5.5,4.0,1187187447
1255119,908,31290,Espresso Cream Stout,John Harvard's Brewery & Ale House,Milk / Sweet Stout,,4.0,1167251647
1255124,908,31292,Amarillo Anonymous,John Harvard's Brewery & Ale House,American Pale Wheat Ale,,4.0,1168536425
1255127,908,32080,HOPpopotamus,John Harvard's Brewery & Ale House,American Double / Imperial IPA,,4.5,1167508151
1255132,908,32916,Peak Organic Amber Ale,Peak Organic Brewing Company,American Amber / Red Ale,5.0,4.0,1193334451
1255187,908,33413,Saranac Bock,Matt Brewing Company,Bock,6.0,3.0,1165501214
1255241,908,33452,Unlucky IPA,John Harvard's Brewery & Ale House,American IPA,,3.5,1162061352
1255246,908,34136,Blue Point Porter,Blue Point Brewing Company,American Porter,,3.0,1165626245
1255252,908,35271,Klaster Premium,Pivovar Klaster,Czech Pilsener,5.6,4.0,1186596697
1255269,908,35517,Mad Tom's Old Ale,John Harvard's Brewery & Ale House,Old Ale,,3.5,1172589594
1255272,908,35518,El Chupacabra Barley Wine,John Harvard's Brewery & Ale House,American Barleywine,,3.5,1172590039
1255275,908,35725,Black Forest Scotch Ale,Black Forest Brew Haus,Scotch Ale / Wee Heavy,8.1,3.5,1174773685
1255280,908,35807,Pinstripe Porter,John Harvard's Brewery & Ale House,American Porter,,4.5,1173715471
1255287,908,36062,Primátor Polotmavý Märzen,Pivovar Náchod a.s.,American Amber / Red Lager,5.5,4.0,1175772976
1255295,908,36201,Kyle's Last Lager,John Harvard's Brewery & Ale House,American Pale Lager,,3.5,1179004276
1255297,908,36375,Drew's Brew,Brick House Brewery,English Pale Ale,5.5,4.5,1178813210
1255299,908,36927,The Warrior's Code ESB,John Harvard's Brewery & Ale House,Extra Special / Strong Bitter (ESB),,3.5,1181658200
1255302,908,36928,Penguin Pils,John Harvard's Brewery & Ale House,Czech Pilsener,,4.5,1186684509
1255306,908,37020,California Steam,Adirondack Pub & Brewery,California Common / Steam Beer,,5.0,1180284555
1255308,908,37021,Snow Trout Stout,Adirondack Pub & Brewery,American Stout,,3.5,1180284522
1255312,908,37158,Bear Naked Ale,Adirondack Pub & Brewery,American Amber / Red Ale,5.2,3.5,1181224062
1255327,908,37223,Seven Grain Stout,John Harvard's Brewery & Ale House,American Stout,,4.0,1181658533
1255329,908,37465,Antolini Rye Ale,John Harvard's Brewery & Ale House,Rye Beer,,4.0,1197738845
1255333,908,37634,Colonial Red,John Harvard's Brewery & Ale House,American Amber / Red Ale,,3.5,1184683049
1255336,908,38088,Double O Stout,John Harvard's Brewery & Ale House,Oatmeal Stout,,4.0,1186684214
1255339,908,38692,Hop Magic,John Harvard's Brewery & Ale House,Belgian IPA,,3.5,1191096997
1255344,908,39654,Cuvée Du 8ème,BFM Brasserie Des Franches-Montagnes,Belgian Strong Pale Ale,7.5,2.0,1233713176
1255374,908,39714,2007 Christmas Ale,Sly Fox Brewing Company,Winter Warmer,,4.0,1199635707
1255404,908,39961,Smuttynose Brett & I (Short Batch Series),Smuttynose Brewing Company,Belgian Strong Pale Ale,7.0,4.5,1214421758
1255422,908,40927,Extra Brune,Brooklyn Brewery,Belgian Strong Dark Ale,8.5,4.0,1203623241
1255460,908,41368,Four Philosophers,Keegan Ales,Tripel,8.0,4.0,1211568182
1255469,908,43961,Creamy McStout,John Harvard's Brewery & Ale House,Milk / Sweet Stout,,2.0,1216142889
1255473,908,62782,Splashing Pumpkin,Great South Bay Brewery,Pumpkin Ale,5.0,4.0,1314452973
1255476,910,5368,Organic Honeydew,Fuller Smith & Turner PLC,English Pale Ale,5.0,4.0,1307301301
1255612,910,7359,Holsten Maibock,Hanseatische Getränke-Industrie (HGI) Holsten-Brauerei AG,Maibock / Helles Bock,7.0,2.5,1282775027
1255684,910,9611,Iron Horse I.P.A.,Mt. Pleasant Brewing Company,American IPA,6.6,4.0,1307463582
1255719,910,11413,Phillips IPA,Phillips Brewing Company,American IPA,6.5,4.0,1283218555
1255745,910,15866,Dominus Vobiscum Blanche,Microbrasserie Charlevoix,Witbier,5.0,4.0,1321238332
1255806,910,17682,Neustadt Lager,Neustadt Springs Brewery,American Adjunct Lager,5.0,3.5,1284487852
1255834,910,20783,Kuhnhenn Grand Cru,Kuhnhenn Brewing Company,Belgian Strong Pale Ale,9.3,4.0,1309391864
1255860,910,21253,Skookum Cascadian Brown Ale,Phillips Brewing Company,American Black Ale,6.5,4.0,1320164255
1255903,910,24197,Boris Bold,Brasserie de Saverne,Euro Strong Lager,8.6,2.0,1282355058
1255923,910,25133,MacLays Traditional Pale Ale,Sleeman Breweries Ltd.,English Pale Ale,5.0,4.0,1282869295
1255956,910,30715,Greene King IPA Export Strength,Greene King / Morland Brewery,English India Pale Ale (IPA),5.0,4.0,1284842973
1256012,910,32218,Kuhnhenn Extraneous Ale,Kuhnhenn Brewing Company,American Barleywine,17.0,4.0,1325643681
1256054,910,39316,Amsterdam Natural Blonde Lager,Amsterdam Brewing Company,Euro Pale Lager,5.0,4.0,1284579582
1256089,910,39365,Sleeman Cream Ale,Sleeman Breweries Ltd.,Cream Ale,5.0,3.5,1282091908
1256128,910,40979,Stonecutter,Renaissance Brewing,Scotch Ale / Wee Heavy,7.0,3.5,1320806161
1256163,910,42803,Sleeman No. 20 Anniversary Ale,Sleeman Breweries Ltd.,American Pale Ale (APA),4.8,4.0,1282607549
1256188,910,45385,Kozel Premium,Pivovar Velké Popovice a.s.,Czech Pilsener,4.8,4.0,1282083623
1256215,910,46273,Lava,Ölvisholt Brugghús,Russian Imperial Stout,9.4,5.0,1300925289
1256257,910,47335,Steam Engine Stout,Mt. Pleasant Brewing Company,American Stout,6.4,4.0,1316458926
1256288,910,47545,Giant Slayer,Tri-City Brewing Company,Russian Imperial Stout,8.5,3.5,1316737577
1256315,910,48799,Tuborg Premium Biere De Luxe Gold,Turk Tuborg Brewing and Malting,Euro Pale Lager,5.5,4.5,1282167439
1256327,910,48921,Russian Gun Imperial Stout,Grand River Brewing,Russian Imperial Stout,8.5,4.0,1322167274
1256396,910,49872,Mill Street Lemon Tea Ale,Mill Street Brew Pub,Herbed / Spiced Beer,4.9,4.5,1283565496
1256455,910,49983,Flying Monkeys Hoptical Illusion,Flying Monkeys Craft Brewery,American Pale Ale (APA),5.2,5.0,1283291954
1256532,910,50390,Hop Yard Pale,Garrison Brewing Company,American Pale Ale (APA),5.3,3.5,1312768284
1256596,910,50559,Rich's Rye,Short's Brewing Company,Rye Beer,4.9,3.0,1318354362
1256655,910,51338,Fuller's India Pale Ale (bottle Conditioned 5.3%),Fuller Smith & Turner PLC,English India Pale Ale (IPA),5.3,3.5,1323851361
1256675,910,53551,Berthold Keller Premium Lager,Brouwerij Martens NV,Euro Pale Lager,5.0,4.0,1282695150
1256702,910,54367,Black Oak Ten Bitter Years Anniversary Ale,Black Oak Brewing Co.,American Double / Imperial IPA,8.0,5.0,1288547299
1256744,910,55875,Nasty Habit India Pale Ale,Mt. Begbie Brewing Co.,American IPA,6.0,3.5,1288574908
1256785,910,57210,Stateside Saison,Stillwater Artisanal Ales,Saison / Farmhouse Ale,6.8,4.0,1315713630
1256935,910,61225,Badass American Lager,Michigan Brewing Company,American Pale Lager,4.2,4.5,1285544935
1256966,910,62198,Trafalgar Hop Nouveau 2010,Trafalgar Ales & Meads,American Pale Ale (APA),5.0,4.0,1285776887
1256969,910,63065,Lake Of Bays Mocha Porter,Lake of Bays Brewing Company,American Porter,5.2,3.0,1322630517
1256981,910,63144,Frog Island Porter,Frog Island Brewing Company,American Porter,6.0,3.5,1320367503
1256986,910,63488,Plum Rye Bock,Short's Brewing Company,Fruit / Vegetable Beer,6.5,4.0,1318394678
1257037,910,64578,Dark & Handsome,Box Steam Brewery,Old Ale,5.0,4.0,1324375147
1257055,910,72171,Flying Monkeys Super Collider Double IPA,Flying Monkeys Craft Brewery,American Double / Imperial IPA,12.4,4.0,1319507165
1257086,910,72943,Ale La Reverend (wedding Session IPA A Tribute To Joe And Leah Short 2011),Short's Brewing Company,American IPA,4.0,4.5,1317747233
1257108,910,73546,Atwater Bourbon Barrel Aged Shaman's Porter,Atwater Block Brewery,American Porter,6.8,4.0,1321323478
1257117,910,75649,Arcadia Hair Of The Wild Dog,Arcadia Brewing Company,American Brown Ale,6.0,4.0,1322071287
1257119,910,76012,Amsterdam The Nightman Cometh,Amsterdam Brewing Company,American Black Ale,8.6,4.5,1326250248
1257127,914,67902,Michigan,Fitger's Brewhouse,Scotch Ale / Wee Heavy,10.3,3.0,1308928023
1257129,916,15482,Turks Head Lager,Turks Head Brewery,American Adjunct Lager,,3.0,1074538921
1257133,916,15483,Turk's Head Island Draught,Turks Head Brewery,American Adjunct Lager,,3.0,1074539007
1257135,916,16425,Otter Creek Middleberry Ale,Otter Creek Brewing / Wolaver's,Fruit / Vegetable Beer,,2.5,1086350255
1257186,919,255,Ipswich Original Ale,Ipswich Ale Brewery,English Pale Ale,5.4,4.0,1197762234
1257372,919,1001,Carrabassett Pale Ale,Casco Bay Brewing Co.,American Pale Ale (APA),,3.5,1207448574
1257408,919,1121,Altbier,Bluegrass Brewing Co. - East St. Matthew's,Altbier,4.19,3.5,1213914367
1257492,919,2108,Wild Goose Nut Brown Ale,"Wild Goose Brewery, LLC",English Brown Ale,4.3,4.0,1231106263
1257574,919,4396,Rheingold Beer,Rheingold Brewing Co.,American Adjunct Lager,5.0,3.5,1291686843
1257627,919,4773,Baladin Nora,Birrificio Le Baladin,Herbed / Spiced Beer,6.8,4.0,1200164266
1257733,919,9380,Lev Lion Lager,"M&#283;&#357;anský Pivovar Havlí&#269;k&#367;v Brod, A.S.",Czech Pilsener,4.7,4.0,1313629179
1257763,919,9395,Lev Black Lion,"M&#283;&#357;anský Pivovar Havlí&#269;k&#367;v Brod, A.S.",Euro Dark Lager,4.5,3.5,1314920938
1257807,919,20205,Sea Dog Pumpkin Ale,Sea Dog Brewing Company,Pumpkin Ale,5.0,3.5,1224635898
1257873,919,20842,St. Patrick's Best,Strangford Lough Brewing Company Ltd,English Bitter,4.2,2.0,1275013089
1257915,919,22781,Offshore India Pale Ale,Offshore Ale Company,American IPA,6.0,3.5,1220320643
1258011,919,27630,Old Salt Ale,Harpoon Brewery,American Pale Wheat Ale,5.1,3.5,1205004681
1258030,919,35865,Reading Premium,Reading Brewing Co,American Pale Lager,4.0,2.5,1317781961
1258070,919,37382,Newport Storm Summer Ale,Coastal Extreme Brewing Co.,American IPA,6.1,3.5,1220490865
1258105,919,38067,Sheriff's India Pale Ale,Sherwood Forest Brewers Ltd.,English India Pale Ale (IPA),5.46,4.0,1203733316
1258174,919,42047,Oaked Finger Lakes Nut Brown,Ithaca Beer Company,English Brown Ale,5.0,3.5,1234755878
1258202,919,42090,Otter San (Otter Creek World Tour),Otter Creek Brewing / Wolaver's,American Blonde Ale,,4.5,1217383128
1258241,919,42200,Blueberry Wheat Beer,Ellicottville Brewing Co.,Fruit / Vegetable Beer,4.2,4.0,1320977252
1258268,919,43897,Brooklyn Grand Cru,Brooklyn Brewery,Witbier,8.4,4.5,1231552816
1258315,919,50762,1900 Amber Lager,Fort Collins Brewing,American Amber / Red Lager,4.5,4.5,1293159475
1258351,919,58273,Busted Knuckle,Gray's Brewing Company,Irish Red Ale,,4.0,1325461901
1258357,919,61179,Rampage IPA,Cellar Rats Brewery,American IPA,7.2,4.0,1303433549
1258360,919,65519,Leinenkugel's Limited Golden Lager,Jacob Leinenkugel Brewing Company,American Pale Lager,4.94,4.5,1299118158
1258403,919,68535,O'Hoppy Ale IPA,Ohio Brewing Company,American IPA,7.0,4.0,1326073710
1258405,919,76571,Samuel Adams Alpine Spring,Boston Beer Company (Samuel Adams),Munich Helles Lager,5.8,4.5,1324520694
1258433,920,3199,Noel Lager,Anacortes Brewery & Rockfish Grill,Munich Dunkel Lager,5.5,3.5,1259352150
1258435,920,16464,San Mig Light,San Miguel Corporation,Light Lager,5.0,2.0,1258614617
1258457,920,22186,Broadsword,Anacortes Brewery & Rockfish Grill,Scotch Ale / Wee Heavy,8.3,3.5,1259252460
1258461,920,38273,Port Townsend Amber,Port Townsend Brewing Company,American Amber / Red Ale,,4.0,1285147822
1258465,920,38703,Quilter's Irish Death,Iron Horse Brewery,American Strong Ale,7.8,4.5,1265525624
1258512,920,56305,Top Sail Bourbon Barrel Aged Porter (Brewmaster Reserve 2010),Full Sail Brewery & Tasting Room & Pub,American Porter,9.85,2.5,1269594728
1258563,920,56749,Sin City IPA,Sin City Brewing Co.,English India Pale Ale (IPA),,4.0,1268415213
1258566,920,57799,Big Ballard,Redhook Ale Brewery,American Double / Imperial IPA,8.6,3.0,1273817904
1258622,920,62234,Eisbock 28,Redhook Ale Brewery,Eisbock,11.0,3.0,1291213032
1258711,920,65532,Spicy Fish Wife,Slip Point Brewing,Herbed / Spiced Beer,,3.0,1295770182
1258713,922,5761,Bateman's Combined Harvest,George Bateman and Son Ltd. / Batemans Brewery,English Pale Ale,4.7,3.0,1257820979
1258770,922,11318,Old Fort Porter,Mad Anthony Brewing Company,American Porter,5.0,4.0,1241143497
1258804,922,35339,Flat Earth Belgian-Style Pale Ale,Flat Earth Brewing Company,Belgian Pale Ale,5.2,4.5,1245285780
1258897,922,36418,Warhawk Pale Ale,Warbird Brewing Company,American Pale Ale (APA),7.3,1.5,1240777721
1258933,922,37457,Mustang Gold Ale,Warbird Brewing Company,American Blonde Ale,5.1,5.0,1241153639
1258955,922,37803,Angry Planet Organic Pale Ale,Flat Earth Brewing Company,American Pale Ale (APA),6.0,4.5,1240885098
1259015,922,45801,Hop Scare,Great Waters Brewing,American IPA,7.1,4.0,1244990396
1259020,922,47265,W'09 Belgian Style Ale,Widmer Brothers Brewing Company,Belgian Pale Ale,6.5,4.5,1241495051
1259075,922,50547,Scratch Beer 20 - 2009,Tröegs Brewing Company,American Double / Imperial IPA,7.0,4.5,1251243522
1259131,922,51524,Moaten,Two Brothers Brewing Company,Flanders Red Ale,6.0,4.0,1252029033
1259225,922,56474,Summit India Style Rye Ale,Summit Brewing Company,Rye Beer,6.3,4.5,1271710465
1259317,922,56773,Elisha's Olde Ale,Brau Brothers Brewing Co. LLC,Old Ale,10.1,4.5,1269842905
1259330,923,149,Kinmount Willie Oatmeal Stout,Broughton Ales Ltd,Oatmeal Stout,4.2,3.5,1151568716
1259398,923,965,Pike Weisse,Pike Pub & Brewery,Hefeweizen,3.8,4.0,1149826279
1259408,923,1182,Flying Scotsman Ruby Ale,The Caledonian Brewing Company,Scottish Ale,4.6,3.5,1320774053
1259414,923,1796,Mort Subite Gueuze,Brouwerij Mort Subite,Gueuze,4.5,4.0,1165392933
1259524,923,1844,Labatt Genuine Draft,Labatt Brewing Company Ltd.,American Adjunct Lager,5.0,4.0,1157530589
1259538,923,2043,Primator Premium Lager,Pivovar Náchod a.s.,Czech Pilsener,5.0,3.5,1208140137
1259601,923,2440,St. Peter's Honey Porter,St. Peter's Brewery Co Ltd,English Porter,5.1,4.0,1112845879
1259633,923,2443,St. Peter's Lemon & Ginger Spiced Ale,St. Peter's Brewery Co Ltd,Herbed / Spiced Beer,4.7,4.0,1110787245
1259651,923,3194,Anacortes Porter,Anacortes Brewery & Rockfish Grill,American Porter,5.5,4.5,1157948626
1259661,923,3390,Swans Oatmeal Stout,Swans Brewpub / Buckerfield Brewery,Oatmeal Stout,5.4,4.5,1143189599
1259674,923,3577,Fish Tale Wild Salmon Pale Ale,Fish Brewing Company / Fishbowl Brewpub,American Pale Ale (APA),5.5,3.5,1165465082
1259749,923,3588,Bière Darbyste,Brasserie de Blaugies,Belgian Pale Ale,5.8,4.0,1158638640
1259829,923,3709,La Fringante,Unibroue,Tripel,10.0,3.5,1133936182
1259872,923,4084,Tanglefoot Premium Ale,"Badger Brewery, Hall and Woodhouse",English Pale Ale,5.1,4.0,1321738016
1259909,923,5195,Propeller London Style Porter,Propeller Brewery,English Porter,5.0,4.5,1184751425
1259974,923,5214,La Choulette Ambrée,Brasserie La Choulette,Bière de Garde,8.0,3.5,1132639607
1260039,923,5223,Gale Force India Style Pale Ale,Scuttlebutt Brewing Company,American IPA,5.25,4.5,1192513919
1260113,923,5348,After Dark Mild,Nelson Brewing Company,English Dark Mild Ale,5.0,4.5,1118476693
1260124,923,5989,Race Rocks Ale,Lighthouse Brewing Company,American Amber / Red Ale,5.2,4.0,1129609559
1260142,923,5990,Beacon India Pale Ale,Lighthouse Brewing Company,English India Pale Ale (IPA),5.4,4.0,1128231054
1260164,923,5991,Keepers Stout,Lighthouse Brewing Company,Irish Dry Stout,5.1,4.0,1124529434
1260192,923,6659,Blackheart Oatmeal Stout,Nelson Brewing Company,Oatmeal Stout,5.7,3.5,1123492500
1260217,923,6875,Wild Rose Brown,Wild Rose Brewery & Taproom,English Brown Ale,5.0,3.5,1245637716
1260250,923,7070,Cabin Fever Winter Ale,Boundary Bay Brewery & Bistro,Winter Warmer,7.0,4.0,1166684552
1260291,923,7253,Black Dog Mild,Elgood and Sons Ltd,English Dark Mild Ale,3.6,4.5,1321906945
1260300,923,7267,Twelve Days,Hook Norton Brewery Co. Ltd.,English Strong Ale,5.5,4.0,1320780102
1260370,923,7898,Rickard's Honeybrown,Molson Coors Canada,English Brown Ale,5.2,3.5,1154761167
1260416,923,8215,Spinnakers India Pale Ale,Spinnakers Gastro Brewpub & Guesthouse,English India Pale Ale (IPA),7.1,3.5,1143355126
1260434,923,8277,Okanagan Old English Porter,Okanagan Spring Brewery,Baltic Porter,8.5,2.5,1122280764
1260464,923,8709,Pike Pole Porter,Fire Station 5 Brewing Company,American Porter,,3.0,1131528085
1260476,923,8976,Abbaye Des Rocs Spéciale Noël,Brasserie de l'Abbaye des Rocs s.a.,Belgian Strong Dark Ale,9.0,4.0,1104031178
1260512,923,9127,Granville Island Scottish Ale,Granville Island Brewery,Scottish Ale,5.7,3.5,1108015596
1260519,923,9158,Sailor Hagar's Honey Pilsner,Sailor Hägar's Brewpub,German Pilsener,4.65,3.5,1135230656
1260523,923,9160,Killarney Stout,Granville Island Brewery,Irish Dry Stout,5.0,4.5,1111576908
1260532,923,9161,Russell Cream Ale,Russell Brewing Company,English Dark Mild Ale,5.0,3.5,1109748029
1260541,923,9198,Bowen Island Special Bitter,Bowen Island Brewing Co. Ltd.,English Bitter,4.7,3.5,1129019748
1260545,923,9299,Mt Begbie Selkirk Stout,Mt. Begbie Brewing Co.,Milk / Sweet Stout,4.5,5.0,1102406549
1260556,923,9409,Wild Honey Ale,Nelson Brewing Company,American Pale Ale (APA),4.5,4.0,1153193748
1260569,923,9983,GI Bitter,Granville Island Brewery,Extra Special / Strong Bitter (ESB),4.8,4.0,1145768423
1260579,923,9994,Wolf's Scottish Cream Ale,Vancouver Island Brewery,Cream Ale,6.0,4.0,1120374844
1260585,923,9996,Bengal India Pale Ale,Sailor Hägar's Brewpub,American IPA,6.0,4.0,1135487690
1260587,923,10074,McNally's Reserve,Big Rock Brewery,American Stout,4.2,4.0,1142641487
1260596,923,10514,Hop Goblin IPA,R & B Brewing Co.,American IPA,6.0,3.5,1147671539
1260617,923,10519,Red Devil Pale Ale,R & B Brewing Co.,American Pale Ale (APA),5.2,3.5,1130480765
1260625,923,10679,XO Beer,Brasserie Des Gabariers (L&L Cognac SA),Euro Strong Lager,8.0,3.0,1115441876
1260657,923,11459,IPA (a.k.a. Indian Rock IPA),Cannery Brewing Company,American IPA,6.0,4.0,1133753865
1260688,923,11486,Anarchist Amber Ale,Cannery Brewing Company,American Amber / Red Ale,5.5,2.5,1155450567
1260715,923,11700,Montejo,Grupo Modelo S.A. de C.V.,Czech Pilsener,4.5,4.0,1169107176
1260747,923,11791,Kootenay Mountain Ale,Columbia Brewery,English Brown Ale,5.5,3.5,1149224584
1260756,923,11878,Canterbury,Pacific Western Brewing Company,Euro Dark Lager,5.0,4.0,1113459194
1260763,923,11992,Bow Valley Brown Ale,Brewsters Brewing Company & Restaurant - Oliver Square,English Brown Ale,5.0,4.0,1248324126
1260770,923,12147,Bushman's,Independent Distillers (Aust),American Adjunct Lager,5.0,3.0,1114844586
1260780,923,12279,Melbourn Bros. Cherry,Melbourn Bros.,Fruit / Vegetable Beer,3.4,4.0,1149811194
1260840,923,12484,Salt Spring Golden Ale,Gulf Islands Brewing,American Blonde Ale,5.0,4.5,1137828767
1260848,923,12507,Salt Spring Porter,Gulf Islands Brewing,American Porter,5.5,4.0,1103016079
1260857,923,12528,Salt Spring Pale Ale,Gulf Islands Brewing,American Pale Ale (APA),5.0,4.0,1138515326
1260860,923,12759,Ringwood Fortyniner,Ringwood Brewery,English Pale Ale,4.9,4.0,1265481691
1260870,923,12971,Skinner's Betty Stogs Bitter,Skinner's Brewery,English Bitter,4.0,4.0,1321995868
1260877,923,13179,Burton Bridge Bramble Stout,Burton Bridge Brewery,English Stout,5.0,3.5,1274343836
1260891,923,13806,Chilliwack Blonde,Old Yale Brewing Co.,American Blonde Ale,5.0,4.0,1130053955
1260895,923,14027,Centurion's Ghost Ale,York Brewery Company Limited,English Strong Ale,5.4,3.5,1265476661
1260915,923,14426,Demon,Brewery Lobkowicz,Vienna Lager,5.2,4.0,1138771239
1260930,923,14626,Guzzler,York Brewery Company Limited,English Bitter,3.6,4.0,1320772248
1260936,923,14664,Obolon Magnat,Obolon Brewery,Euro Pale Lager,5.3,2.5,1158118422
1260969,923,14696,Late Red,Shepherd Neame Ltd,English Pale Ale,4.5,4.0,1324306247
1260978,923,14795,Griffon Rousse,McAuslan Brewing,American Amber / Red Ale,4.5,3.5,1165297591
1261034,923,14878,Auld Nick,R & B Brewing Co.,Winter Warmer,6.5,3.0,1104211861
